Representative,ReportDate,TransactionDate,Ticker,Transaction,Range,House,Amount,Party,last_modified
James French Hill,1/10/2024,12/29/2023,PYPL,Sale,"$15,001 - $50,000",Representatives,15001,R,1/11/2024
James French Hill,1/10/2024,12/29/2023,SCHW,Sale,"$50,001 - $100,000",Representatives,50001,R,1/11/2024
Josh Gottheimer,1/7/2024,12/29/2023,NOC,Purchase,"$15,001 - $50,000",Representatives,15001,D,1/9/2024
Shelley Moore Capito,1/12/2024,12/29/2023,TFC,Sale (Partial),"$15,001 - $50,000",Senate,15001,R,1/12/2024
Laurel Mrs Lee,1/4/2024,12/29/2023,BABA,Sale,"$100,001 - $250,000",Representatives,100001,R,1/9/2024
Pete Sessions,12/28/2023,12/28/2023,CCI,Sale,"$1,001 - $15,000",Representatives,1001,R,12/30/2023
Bill Hagerty,1/10/2024,12/27/2023,DDOG,Sale (Full),"$1,001 - $15,000",Senate,1001,R,1/11/2024
Rudy Yakym Iii,12/27/2023,12/27/2023,"6.MONTH, MATURE",Purchase,"$15,001 - $50,000",Representatives,15001,R,12/28/2023
Tommy Tuberville,1/12/2024,12/26/2023,VZ,Sale (Partial),"$15,001 - $50,000",Senate,15001,R,1/12/2024
Tommy Tuberville,1/12/2024,12/26/2023,RF,Sale (Full),"$15,001 - $50,000",Senate,15001,R,1/12/2024
Tommy Tuberville,1/12/2024,12/26/2023,KEY,Purchase,"$15,001 - $50,000",Senate,15001,R,1/12/2024
Tommy Tuberville,1/12/2024,12/26/2023,PARA,Purchase,"$15,001 - $50,000",Senate,15001,R,1/12/2024
Richard W. Allen,1/11/2024,12/21/2023,ALB,Sale,"$1,001 - $15,000",Representatives,1001,R,1/12/2024
Richard W. Allen,1/11/2024,12/21/2023,NEE,Sale,"$15,001 - $50,000",Representatives,15001,R,1/12/2024
Josh Gottheimer,1/7/2024,12/21/2023,LZAGY,Sale,"$1,001 - $15,000",Representatives,1001,D,1/9/2024
Josh Gottheimer,1/7/2024,12/21/2023,DBSDY,Purchase,"$1,001 - $15,000",Representatives,1001,D,1/9/2024
Richard W. Allen,1/11/2024,12/21/2023,ALB,Sale,"$1,001 - $15,000",Representatives,1001,R,1/12/2024
Josh Gottheimer,1/7/2024,12/20/2023,AMD,Sale,"$1,001 - $15,000",Representatives,1001,D,1/9/2024
Josh Gottheimer,1/7/2024,12/20/2023,LOPE,Sale,"$1,001 - $15,000",Representatives,1001,D,1/9/2024
John Boozman,1/8/2024,12/20/2023,LRCX,Sale (Partial),"$1,001 - $15,000",Senate,1001,R,1/8/2024
Josh Gottheimer,1/7/2024,12/20/2023,COP,Sale,"$1,001 - $15,000",Representatives,1001,D,1/9/2024
Josh Gottheimer,1/7/2024,12/20/2023,MA,Sale,"$1,001 - $15,000",Representatives,1001,D,1/9/2024
Josh Gottheimer,1/7/2024,12/20/2023,UMBF,Purchase,"$1,001 - $15,000",Representatives,1001,D,1/9/2024
Josh Gottheimer,1/7/2024,12/20/2023,TPH,Purchase,"$1,001 - $15,000",Representatives,1001,D,1/9/2024
Josh Gottheimer,1/7/2024,12/20/2023,HLI,Sale,"$1,001 - $15,000",Representatives,1001,D,1/9/2024
Josh Gottheimer,1/7/2024,12/20/2023,INTA,Purchase,"$1,001 - $15,000",Representatives,1001,D,1/9/2024
Max Miller,12/21/2023,12/20/2023,GLAS FUNDS,Purchase,"$15,001 - $50,000",Representatives,15001,R,
John Boozman,1/8/2024,12/20/2023,PFE,Purchase,"$1,001 - $15,000",Senate,1001,R,1/8/2024
Tommy Tuberville,1/12/2024,12/19/2023,UAA,Sale (Full),"$15,001 - $50,000",Senate,15001,R,1/12/2024
Virginia Foxx,1/4/2024,12/19/2023,DUK$A,Purchase,"$1,001 - $15,000",Representatives,1001,R,1/9/2024
Shelley Moore Capito,1/12/2024,12/19/2023,JPM,Sale (Partial),"$1,001 - $15,000",Senate,1001,R,1/12/2024
Shelley Moore Capito,1/12/2024,12/19/2023,ACN,Sale (Partial),"$1,001 - $15,000",Senate,1001,R,1/12/2024
Shelley Moore Capito,1/12/2024,12/19/2023,ADI,Sale (Partial),"$1,001 - $15,000",Senate,1001,R,1/12/2024
Shelley Moore Capito,1/12/2024,12/19/2023,AAPL,Sale (Partial),"$1,001 - $15,000",Senate,1001,R,1/12/2024
Shelley Moore Capito,1/12/2024,12/19/2023,MSFT,Sale (Partial),"$1,001 - $15,000",Senate,1001,R,1/12/2024
Tommy Tuberville,1/12/2024,12/18/2023,GOLD,Purchase,"$50,001 - $100,000",Senate,50001,R,1/12/2024
Tommy Tuberville,1/12/2024,12/18/2023,CVX,Sale (Full),"$1,001 - $15,000",Senate,1001,R,1/12/2024
Tommy Tuberville,1/12/2024,12/18/2023,GOLD,Sale (Full),"$15,001 - $50,000",Senate,15001,R,1/12/2024
Shelley Moore Capito,1/12/2024,12/18/2023,MDLZ,Sale (Partial),"$1,001 - $15,000",Senate,1001,R,1/12/2024
Tommy Tuberville,1/12/2024,12/18/2023,CVX,Sale (Full),"$1,001 - $15,000",Senate,1001,R,1/12/2024
Shelley Moore Capito,1/12/2024,12/18/2023,MSFT,Sale (Partial),"$1,001 - $15,000",Senate,1001,R,1/12/2024
Tommy Tuberville,1/12/2024,12/18/2023,GOLD,Sale (Full),"$1,001 - $15,000",Senate,1001,R,1/12/2024
Thomas R. Carper,1/3/2024,12/18/2023,XCEM,Purchase,"$15,001 - $50,000",Senate,15001,D,1/3/2024
Shelley Moore Capito,1/12/2024,12/18/2023,KO,Sale (Partial),"$1,001 - $15,000",Senate,1001,R,1/12/2024
Thomas R. Carper,1/3/2024,12/18/2023,SBPYX,Purchase,"$15,001 - $50,000",Senate,15001,D,1/3/2024
Thomas R. Carper,1/3/2024,12/18/2023,FDRR,Purchase,"$1,001 - $15,000",Senate,1001,D,1/3/2024
Thomas R. Carper,1/3/2024,12/18/2023,SMDV,Purchase,"$1,001 - $15,000",Senate,1001,D,1/3/2024
Thomas R. Carper,1/3/2024,12/18/2023,XCEM,Purchase,"$1,001 - $15,000",Senate,1001,D,1/3/2024
Shelley Moore Capito,1/12/2024,12/18/2023,PFE,Sale (Partial),"$1,001 - $15,000",Senate,1001,R,1/12/2024
Michael C. Burgess,1/8/2024,12/15/2023,UPS,Sale,"$1,001 - $15,000",Representatives,1001,R,1/9/2024
Pete Sessions,12/26/2023,12/15/2023,BUI,Sale,"$1,001 - $15,000",Representatives,1001,R,12/27/2023
Lloyd Doggett,1/8/2024,12/15/2023,KO,Purchase,"$1,001 - $15,000",Representatives,1001,D,1/9/2024
Michael C. Burgess,1/8/2024,12/15/2023,UPS,Purchase,"$1,001 - $15,000",Representatives,1001,R,1/9/2024
Tommy Tuberville,1/12/2024,12/14/2023,CVX,Purchase,"$50,001 - $100,000",Senate,50001,R,1/12/2024
Richard W. Allen,1/11/2024,12/14/2023,SCHW,Purchase,"$50,001 - $100,000",Representatives,50001,R,1/12/2024
Michael C. Burgess,1/8/2024,12/14/2023,UPS,Sale,"$1,001 - $15,000",Representatives,1001,R,1/9/2024
